case_id,sample_id,wsi_src,wsi_file_id,wsi_file_name,wsi_dl_url,rna_file_id,rna_file_name,paired
TCGA-05-4405,TCGA-05-4405-01Z-00-DX1,gdc_open,6b0e0c19-b841-4bd8-aa4e-5e947bc8cd32,TCGA-05-4405-01Z-00-DX1.D57EC2B2-3A59-4954-86A7-61782938BCC5.svs,,9dffc7c0-da78-48a9-b438-a4886a45048e,52b34ef3-a814-4aa9-a395-6beea6a71f11.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-69-7764,TCGA-69-7764-01Z-00-DX1,gdc_open,242f8427-ec45-4ca9-9536-ddc8de5c05dd,TCGA-69-7764-01A-01-TS1.7c039ba2-0932-4008-8ddf-b7916cc4cd9a.svs,,09f9f414-db5b-4b54-9e8e-234bf9d7c678,81a33f6c-0195-45c5-87e7-7748838d0a4e.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-55-8621,TCGA-55-8621-01Z-00-DX1,gdc_open,c362b1ce-0af7-43a4-80f5-43d849262abc,TCGA-55-8621-01Z-00-DX1.7C519007-D59D-432A-BF4D-23D14A1C8BB6.svs,,8b26e78c-f162-48fc-8c1b-9628baa3ca62,b603c2a6-4366-415a-871e-5949a2a8a4b6.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-44-5643,TCGA-44-5643-01Z-00-DX1,gdc_open,3f6fe739-90d7-4ea2-b46b-8209de2108e5,TCGA-44-5643-01Z-00-DX1.83fb7631-0ecb-4473-bfb2-c8daa2f87d35.svs,,db07bd22-cf7a-4504-9491-1bdeb1e14339,c29e5bb3-860d-4f1f-b27d-ae5b9d8c4208.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-44-7670,TCGA-44-7670-01Z-00-DX1,gdc_open,f402a081-fdd9-4182-ae87-bc3b7107dbf2,TCGA-44-7670-01A-01-TS1.3e1ec27f-722d-4b74-960b-d33537771d25.svs,,c69e8ef1-57a7-439a-9b05-66f14b019322,be547f27-5157-4947-ad2a-c9d006dedabd.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-69-7980,TCGA-69-7980-01Z-00-DX1,gdc_open,cc532f0a-cccb-46ae-96cb-17771d790e4d,TCGA-69-7980-01A-01-TS1.8bbfa52c-1409-4fd6-bf6a-d7c8362adcee.svs,,6feef177-114c-4285-b242-481fe0aea551,77322072-2a7f-49e6-a9d1-c521c25acd70.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-50-6591,TCGA-50-6591-01Z-00-DX1,gdc_open,79e1973b-550e-488a-ae88-5d297e310ca3,TCGA-50-6591-01A-01-BS1.b3497e1b-f055-450b-860e-9f7e95acb162.svs,,41e96482-bc24-4a1a-8ef2-8ef4d525ad40,52e52b5d-4112-4616-8ddd-2a4524a91778.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-62-A46V,TCGA-62-A46V-01Z-00-DX1,gdc_open,b519cea4-8a43-4bcb-ace2-55fe1e6db151,TCGA-62-A46V-01Z-00-DX1.631E54D0-9E57-4932-B4EF-81820E56A95B.svs,,fd52d8a9-e044-4f17-861a-9780752b20ee,1084d48c-88e8-4d67-9049-d0e4cd7f9535.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-95-7043,TCGA-95-7043-01Z-00-DX1,gdc_open,b5506234-c969-4b27-89f5-5dffead8683a,TCGA-95-7043-01Z-00-DX1.AE0FD8AA-9B88-45FE-B247-402BED1285EF.svs,,d3f1b81f-37ce-47b6-b98d-8530076007c7,d067f93b-7182-4a34-ba8e-be73589b7420.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-49-6744,TCGA-49-6744-01Z-00-DX1,gdc_open,dc703cee-a916-4a23-aeb0-cd9e1cd91440,TCGA-49-6744-01A-01-TS1.cb8c4bda-8e2b-45e1-a7ec-7db89e297f5d.svs,,1876b908-e911-464f-be23-2b4eae0a43b6,6efebff1-f165-415e-9001-45a782638785.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-78-8648,TCGA-78-8648-01Z-00-DX1,gdc_open,9929ef21-6509-4aae-ab5f-019654845bd7,TCGA-78-8648-01Z-00-DX1.D3EAEF8E-E739-490F-BF48-A4796B0C0E7A.svs,,ab3c7d7c-7ad0-4f26-9991-ddd288598936,5d843590-36a7-4568-88a4-2bc09e14927f.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-05-4433,TCGA-05-4433-01Z-00-DX1,gdc_open,60f8249b-abf8-4ae3-a472-ed2a428e3834,TCGA-05-4433-01Z-00-DX1.5843D3CC-CB24-4A0A-BB65-78A5DAA11D84.svs,,3aa81439-d4cc-41ef-9568-e6a11c8b1b52,a6a841ae-f63f-45ab-9a17-2288e12a9577.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-05-4417,TCGA-05-4417-01Z-00-DX1,gdc_open,ae365346-f0d4-4c44-af68-e02424c1d119,TCGA-05-4417-01A-01-BS1.77504096-c1dd-4bbf-ab1a-c12fde152fc1.svs,,62560d5c-0cae-4fc7-820a-9c1236eb2c80,f30ea4c5-0110-403e-b171-2ea1e35c1ea0.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-55-8299,TCGA-55-8299-01Z-00-DX1,gdc_open,8120c5ca-dc00-4f58-98b4-40feccb6579f,TCGA-55-8299-11A-01-TS1.ee910b9a-5cbe-46b3-8731-c6a72654e28b.svs,,2a7831f2-aa57-4e6f-92b3-0a7a727d5637,cbdf1edd-a8c9-4fc8-88ee-928f01abae34.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-J2-A4AE,TCGA-J2-A4AE-01Z-00-DX1,gdc_open,099dab99-4865-4bf3-a7de-fc56d9d62dc7,TCGA-J2-A4AE-01A-02-TSB.26806978-962F-4468-A37C-901A8B44DEE6.svs,,f2dbb2df-c98b-42d1-9fad-9708bc42fa03,b5cadc0c-3088-4f81-9561-902c8ca44c2d.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-44-A4SU,TCGA-44-A4SU-01Z-00-DX1,gdc_open,6df2ce76-d222-43b2-9dd7-da0a28ad1d87,TCGA-44-A4SU-01Z-00-DX1.AE2607C1-B208-4557-ADB4-6AAF03C6D3A9.svs,,5caf3127-967f-4d07-b49d-7126728e2048,1d7be20b-b4ca-47bb-9552-689f2e3ff0f7.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-44-2668,TCGA-44-2668-01Z-00-DX1,gdc_open,a1eb0b08-23e1-4215-9917-bc3b0f3edb10,TCGA-44-2668-01B-02-BS2.7C0C441E-E968-471D-9E4A-77673F67250D.svs,,5f2d965a-25df-4736-a675-efeb59341a04,9a54be5e-6201-4beb-9689-289b9849756e.rna_seq.augmented_star_gene_counts.tsv,True
